Region,Constituency_Name,Candidate,Gender,Party,Party_Abbreviation,Party_Abbreviation_v2,Result,Count_Number,Non_Transferable,Occurred_On_Count,Required_To_Reach_Quota,Required_To_Save_Deposit,Transfers,Count_1,Count_2,Count_3,Count_4,Count_5,Count_6,Count_7,Count_8,Count_9,Count_10,Count_11,Count_12,Count_13,Count_14,Count_15,Count_16,Total_Votes,first_pref_percentage
Munster,Cork North Central,Mick Barry,M,Anti-Austerity Alliance,Others,AAA-PBP,Elected,1,0,0,2194,0,0,8041,672,191,234,209,750,617,0,,,,,,,,,10714,0.63
Munster,Cork North West,Aindrias Moynihan,M,Fianna Fáil,F.F.,F.F.,Elected,1,0,0,2816,0,0,8924,80,197,166,311,278,799,818,,,,,,,,,11573,0.70
Munster,Cork North West,Michael Creed,M,Fine Gael,F.G.,F.G.,Elected,1,0,0,2871,0,0,8869,155,150,153,239,181,331,-3217,,,,,,,,,6861,0.69
Munster,Cork North West,Michael Moynihan,M,Fianna Fáil,F.F.,F.F.,Elected,1,0,0,4408,0,0,7332,12,30,145,239,386,244,701,,,,,,,,,9089,0.57
Munster,Cork South Central,Donnchadh Uinseann Ó Laoghaire,M,Sinn Féin,S.F.,S.F.,Elected,1,0,0,4151,0,0,6986,104,32,30,105,157,110,489,160,2127,,,,,,,10300,0.55
Munster,Cork South Central,Michael McGrath,M,Fianna Fáil,F.F.,F.F.,Elected,1,0,1,0,0,0,11795,,,,,,,,,,,,,,,,11795,0.92
Munster,Cork South Central,Micheál Martin,M,Fianna Fáil,F.F.,F.F.,Elected,1,0,1,0,0,0,11346,0,,,,,,,,,,,,,,,11346,0.89
Munster,Cork South Central,Simon Coveney,M,Fine Gael,F.G.,F.G.,Elected,1,0,0,3172,0,0,7965,215,53,8,52,10,165,64,724,1057,,,,,,,10313,0.62
Munster,Cork South West,Jim Daly,M,Fine Gael,F.G.,F.G.,Elected,1,0,0,3445,0,0,7370,263,890,251,1025,,,,,,,,,,,,9799,0.58
Munster,Cork South West,Margaret Murphy O'Mahony,F,Fianna Fáil,F.F.,F.F.,Elected,1,0,0,2333,0,0,8482,363,383,792,1942,,,,,,,,,,,,11962,0.66
Munster,Cork South West,Michael Collins,M,Non-Party,Others,NON-P.,Elected,1,0,0,4050,0,0,6765,582,446,1465,1805,,,,,,,,,,,,11063,0.53
