Constituency_Name,Candidate,Gender,Party,Party_Abbreviation,Party_Abbreviation_v2,Result,Count_Number,Non_Transferable,Occurred_On_Count,Required_To_Reach_Quota,Required_To_Save_Deposit,Transfers,Count_1,Count_2,Count_3,Count_4,Count_5,Count_6,Count_7,Count_8,Count_9,Count_10,Count_11,Count_12,Count_13,Count_14,Count_15,Count_16,Votes,Total_Votes
Cavan Monaghan,Sean Conlan,M,Non-Party,Others,NON-P.,Excluded,1,0,0,10266,1318,0,1665,1686,1688,1754,1853,1980,0,0,0,0,0,0,0,0,0,0,1665,1665
Clare,Andres Siro Hakizimana,M,Non-Party,Others,NON-P.,Excluded,1,0,0,11331,2781,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70
Clare,Ann Norton,F,Non-Party,Others,NON-P.,Excluded,1,0,0,9161,611,0,2240,2321,2442,2521,2686,2982,3152,3205,0,0,0,0,0,0,0,0,2240,2240
Clare,Clare Colleran-Molloy,F,Fianna Fáil,F.F.,F.F.,Excluded,1,0,0,8762,212,0,2639,2673,2697,2716,2824,2880,0,0,0,0,0,0,0,0,0,0,2639,2639
Clare,Dermot Mulqueen,M,Non-Party,Others,NON-P.,Excluded,1,0,0,11362,2812,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39
Clare,Fergal Smith,M,Green Party,G.P.,G.P.,Excluded,1,0,0,9701,1151,0,1700,1764,2092,2144,2193,0,0,0,0,0,0,0,0,0,0,0,1700,1700
Clare,Ian Lynch,M,Non-Party,Others,NON-P.,Excluded,1,0,0,9907,1357,0,1494,1535,1575,0,0,0,0,0,0,0,0,0,0,0,0,0,1494,1494
Clare,Joe Carey,M,Fine Gael,F.G.,F.G.,Elected,1,0,0,5330,0,0,6071,6115,6148,6195,6778,6894,7032,7062,7422,7535,7931,9915,0,0,0,0,6071,6071
Clare,Mary Howard,F,Fine Gael,F.G.,F.G.,Excluded,1,0,0,9348,798,0,2053,2076,2098,2119,0,0,0,0,0,0,0,0,0,0,0,0,2053,2053
Clare,Michael Harty,M,Non-Party,Others,NON-P.,Elected,1,0,0,2772,0,0,8629,8812,8978,9605,9840,10360,10688,10843,11962,11401,11401,11401,0,0,0,0,8629,8629
Clare,Michael Malty McDonagh,M,Fianna Fáil,F.F.,F.F.,Excluded,1,0,0,6675,0,0,4726,4749,4764,4954,4997,5056,5497,5887,6139,6229,6929,7762,0,0,0,0,4726,4726
Clare,Michael McNamara,M,The Labour Party,LAB.,LAB.,Excluded,1,0,0,6929,0,0,4472,4516,4587,4672,4896,5347,5498,5569,5955,6090,6844,0,0,0,0,0,4472,4472
Clare,Niamh O'Brien,F,Fís Nua,Others,F.N.,Excluded,1,0,0,10247,1697,0,1154,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,1154
Clare,Noeleen Moran,F,Sinn Féin,S.F.,S.F.,Excluded,1,0,0,7185,0,0,4216,4277,4519,4611,4664,4957,5058,5083,5473,5601,0,0,0,0,0,0,4216,4216
Clare,Pat Breen,M,Fine Gael,F.G.,F.G.,Elected,1,0,0,4818,0,0,6583,6621,6640,6857,7337,7420,7512,7537,7815,7910,8292,10088,0,0,0,0,6583,6583
Clare,Richard Cahill,M,Non-Party,Others,NON-P.,Excluded,1,0,0,10702,2152,0,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699,699
Clare,Timmy Dooley,M,Fianna Fáil,F.F.,F.F.,Elected,1,0,0,1186,0,0,10215,10292,10382,10480,10624,10772,12150,11401,11401,11401,11401,11401,0,0,0,0,10215,10215
Cork East,Barbara Ahern,F,Fianna Fáil,F.F.,F.F.,Excluded,1,0,0,5968,0,0,4594,4635,4730,4824,4986,5081,5553,6216,6432,6781,0,0,0,0,0,0,4594,4594
Cork East,Ciara Leonardi-Roche,F,Anti-Austerity Alliance,Others,AAA-PBP,Excluded,1,0,0,8563,642,0,1999,2176,2586,3237,0,0,0,0,0,0,0,0,0,0,0,0,1999,1999
Cork East,David Stanton,M,Fine Gael,F.G.,F.G.,Elected,1,0,0,3391,0,0,7171,7296,7401,7484,7593,8312,9099,9647,11558,11558,0,0,0,0,0,0,7171,7171
